TAG,,fta_Loader_BCT_Recipe_ID,"Cycle Time Analysis Recipe ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Loader_BCT_TotalActual,"Cycle Time Analysis REAL Actual Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Loader_BCT_TotalTarget,"Cycle Time Analysis Target Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BCT_Active,"Cycle Time Analysis Data Valid","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BCT_Actual_CT,"Cycle Time Actual Cycle Time in ms","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BCT_Batch_ID,"Cycle Time Analysis Batch ID","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BCT_CRID,"Cycle Time Analysis Create ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BCT_Recipe_ID,"Cycle Time Analysis Recipe ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BCT_TotalActual,"Cycle Time Analysis REAL Actual Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BCT_TotalTarget,"Cycle Time Analysis Target Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_0_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_0_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_0_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_0_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_10_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_10_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_10_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_10_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_11_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_11_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_11_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_11_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_12_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_12_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_12_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_12_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_13_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_13_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_13_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_13_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_14_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_14_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_14_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_14_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_1_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_1_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_1_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_1_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_2_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_2_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_2_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_2_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_3_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_3_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_3_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_3_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_4_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_4_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_4_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_4_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_5_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_5_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_5_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_5_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_6_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_6_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_6_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_6_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_7_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_7_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_7_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_7_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_8_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_8_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_8_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_8_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_9_Actual,"Actual Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_9_Description,"Material Description","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_9_Target,"Target Material Consumption","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_9_Used,"Material Consumed in this Recipe","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_Active,"Mass Balance Data Valid","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Mixer_BMC_Recipe_ID,"Mix Recipe ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Oven_BCT_Active,"Cycle Time Analysis Data Valid","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Oven_BCT_Actual_CT,"Cycle Time Actual Cycle Time in ms","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Oven_BCT_Batch_ID,"Cycle Time Analysis Batch ID","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Oven_BCT_CRID,"Cycle Time Analysis Create ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Oven_BCT_Recipe_ID,"Cycle Time Analysis Recipe ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Oven_BCT_TotalActual,"Cycle Time Analysis REAL Actual Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Oven_BCT_TotalTarget,"Cycle Time Analysis Target Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Packer_BCT_Active,"Cycle Time Analysis Data Valid","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Packer_BCT_Actual_CT,"Cycle Time Actual Cycle Time in ms","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Packer_BCT_Batch_ID,"Cycle Time Analysis Batch ID","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Packer_BCT_CRID,"Cycle Time Analysis Create ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Packer_BCT_Recipe_ID,"Cycle Time Analysis Recipe ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Packer_BCT_TotalActual,"Cycle Time Analysis REAL Actual Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Packer_BCT_TotalTarget,"Cycle Time Analysis Target Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Palletizer_BCT_Active,"Cycle Time Analysis Data Valid","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Palletizer_BCT_Actual_CT,"Cycle Time Actual Cycle Time in ms","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Palletizer_BCT_Batch_ID,"Cycle Time Analysis Batch ID","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Palletizer_BCT_CRID,"Cycle Time Analysis Create ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Palletizer_BCT_Recipe_ID,"Cycle Time Analysis Recipe ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Palletizer_BCT_TotalActual,"Cycle Time Analysis REAL Actual Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Palletizer_BCT_TotalTarget,"Cycle Time Analysis Target Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_ShrinkWrapper_BCT_Active,"Cycle Time Analysis Data Valid","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_ShrinkWrapper_BCT_Actual_CT,"Cycle Time Actual Cycle Time in ms","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_ShrinkWrapper_BCT_Batch_ID,"Cycle Time Analysis Batch ID","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_ShrinkWrapper_BCT_CRID,"Cycle Time Analysis Create ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_ShrinkWrapper_BCT_Recipe_ID,"Cycle Time Analysis Recipe ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_ShrinkWrapper_BCT_TotalActual,"Cycle Time Analysis REAL Actual Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_ShrinkWrapper_BCT_TotalTarget,"Cycle Time Analysis Target Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Wrapper_BCT_Active,"Cycle Time Analysis Data Valid","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Wrapper_BCT_Actual_CT,"Cycle Time Actual Cycle Time in ms","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Wrapper_BCT_Batch_ID,"Cycle Time Analysis Batch ID","STRING","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Wrapper_BCT_CRID,"Cycle Time Analysis Create ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Wrapper_BCT_Recipe_ID,"Cycle Time Analysis Recipe ID","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Wrapper_BCT_TotalActual,"Cycle Time Analysis REAL Actual Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,fta_Wrapper_BCT_TotalTarget,"Cycle Time Analysis Target Metric","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Humidity_pc,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Humidity_Predict,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Inlet_Water_Content,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,Lab_Moisture,"","REAL","","(RADIX := Float, Constant := false, ExternalAccess := Read/Write)"
TAG,,LineControl,"Line Control Word","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
COMMENT,,LineControl,"Mixer Auto Disable",,"LineControl.0"
COMMENT,,LineControl,"Measure LAST Scan Bit$NThis controls all machines",,"LineControl.1"
COMMENT,,LineControl,"One Second Pulse 4 One Scan",,"LineControl.2"
COMMENT,,LineControl,"Mixer Scrap Adjust Done",,"LineControl.5"
COMMENT,,LineControl,"Depositor Request Scrap Adjust",,"LineControl.6"
COMMENT,,LineControl,"Depositor Scrap Adjust Done",,"LineControl.7"
COMMENT,,LineControl,"OvenRequest Scrap Adjust",,"LineControl.8"
COMMENT,,LineControl,"Oven Scrap Adjust Done",,"LineControl.9"
COMMENT,,LineControl,"Mixer Reset",,"LineControl.21"
COMMENT,,LineControl,"Depositor Reset",,"LineControl.22"
COMMENT,,LineControl,"Oven Reset",,"LineControl.23"
COMMENT,,LineControl,"Cooling Reset",,"LineControl.24"
COMMENT,,LineControl,"Loader Reset",,"LineControl.25"
COMMENT,,LineControl,"Wrapper Reset",,"LineControl.26"
COMMENT,,LineControl,"Packer Reset",,"LineControl.27"
COMMENT,,LineControl,"Palletizer Reset",,"LineControl.28"
COMMENT,,LineControl,"ShrinkWrapper Reset",,"LineControl.29"
COMMENT,,LineControl,"Reset Line Command",,"LineControl.30"
COMMENT,,LineControl,"Line Reset Requested",,"LineControl.31"
TAG,,LineData,"Line Based Machine UDTs","MachineUDT[10]","","(Constant := false, ExternalAccess := Read/Write)"
COMMENT,,LineData,"Mixer$NReady To$NAccept",,"LineData[0].INTERLOCKS.0"
COMMENT,,LineData,"Mixer$NReady To$NRelease",,"LineData[0].INTERLOCKS.1"
COMMENT,,LineData,"Mixer$NRelease In Transition",,"LineData[0].INTERLOCKS.2"
COMMENT,,LineData,"Mixer$NBlocked",,"LineData[0].INTERLOCKS.3"
COMMENT,,LineData,"Mixer$NStarved",,"LineData[0].INTERLOCKS.4"
COMMENT,,LineData,"Mixer Running CIP",,"LineData[0].INTERLOCKS.26"
COMMENT,,LineData,"Mixer Active In-Cycle",,"LineData[0].INTERLOCKS.27"
COMMENT,,LineData,"Mixer Not Scheduled",,"LineData[0].INTERLOCKS.28"
COMMENT,,LineData,"Mixer Scrap Alarm Exist",,"LineData[0].INTERLOCKS.29"
COMMENT,,LineData,"Mixer Auto Mode",,"LineData[0].INTERLOCKS.30"
COMMENT,,LineData,"Depositor$NReady To$NAccept",,"LineData[1].INTERLOCKS.0"
COMMENT,,LineData,"Depositor$NReady To$NRelease",,"LineData[1].INTERLOCKS.1"
COMMENT,,LineData,"Depositor$NRelease In Transition",,"LineData[1].INTERLOCKS.2"
COMMENT,,LineData,"Depositor$NBlocked",,"LineData[1].INTERLOCKS.3"
COMMENT,,LineData,"Depositor$NStarved",,"LineData[1].INTERLOCKS.4"
COMMENT,,LineData,"Depositor Place Holder",,"LineData[1].INTERLOCKS.26"
COMMENT,,LineData,"Depositor Active In-Cycle",,"LineData[1].INTERLOCKS.27"
COMMENT,,LineData,"Depositor Place Holder",,"LineData[1].INTERLOCKS.28"
COMMENT,,LineData,"Depositor Scrap Alarm Exist",,"LineData[1].INTERLOCKS.29"
COMMENT,,LineData,"Depositor Auto Mode",,"LineData[1].INTERLOCKS.30"
COMMENT,,LineData,"Oven$NReady To$NAccept",,"LineData[2].INTERLOCKS.0"
COMMENT,,LineData,"Oven$NReady To$NRelease",,"LineData[2].INTERLOCKS.1"
COMMENT,,LineData,"Oven$NRelease In Transition",,"LineData[2].INTERLOCKS.2"
COMMENT,,LineData,"Oven$NBlocked",,"LineData[2].INTERLOCKS.3"
COMMENT,,LineData,"Oven$NStarved",,"LineData[2].INTERLOCKS.4"
COMMENT,,LineData,"Oven Place Holder",,"LineData[2].INTERLOCKS.26"
COMMENT,,LineData,"Oven Active In-Cycle",,"LineData[2].INTERLOCKS.27"
COMMENT,,LineData,"Oven Place Holder",,"LineData[2].INTERLOCKS.28"
COMMENT,,LineData,"Oven Scrap Alarm Exist",,"LineData[2].INTERLOCKS.29"
COMMENT,,LineData,"Oven Auto Mode",,"LineData[2].INTERLOCKS.30"
COMMENT,,LineData,"Cooling$NReady To$NAccept",,"LineData[3].INTERLOCKS.0"
